,SMILES,Name,MinimizedAffinity,MinimizedRMSD,Code,Predicted
1,Cc1nc(Nc2ccc(O)c(c2)C(=O)O)nc(O)c1Cc3ccccc3,ZINC000025497838 25497838 LN01929169,-8.39628,1.53708,comp2,0
3,Cc1nc(Nc2ccc(O)c(c2)C(=O)O)nc(O)c1Cc3ccc(Cl)cc3,ZINC000025497853 25497853 LN01929170,-8.14982,2.02422,comp4,0
4,Cc1nc(Nc2ccc(O)c(c2)C(=O)O)nc(O)c1Cc3ccc(Cl)cc3,ZINC000025497853 25497853 LN01929170,-8.08174,1.56146,comp5,0
6,OC(=O)c1cc(NC(=O)COC2=NC(=CC(=O)N2)c3ccccc3)cc(c1)[N+](=O)[O-],ZINC000014943905 14943905 PubChem-135413623,-7.97114,2.27304,comp7,0
12,NS(=O)(=O)c1ccc(NC(=O)Cc2csc(NC(=O)Nc3ccc(cc3)C(=O)O)n2)cc1,2325899446 PubChem-166429317,-7.34384,4.13549,comp13,0
13,COc1ccc2[nH]c3C(NCCc3c2c1)C4=C(O)N=C(O)N(C4=O)c5ccc(cc5)C(=O)O,ZINC000009331433 9331433,-4.78138,2.75444,comp14,0
14,Cn1ccnc1C(=O)c2ccc(NC(=O)C(=O)NC(CO)Cc3ccccc3)cc2,ZINC000040266528 ZINC40266528 40266528 CSC048939951 LN00854523 MCULE-9042747737 MolPort-008-332-128 PubChem-49653063,2.30955,1.16633,comp15,0
15,O=C(NC1CCS(=O)(=O)C1)Nc2ccccc2C(=O)Nc3cccc(c3)n4cnnc4,ZINC000888088527 888088527,11.7264,4.75215,comp16,0
16,OC1=C(C2=NN[C@H](C2)c3ccc(cc3)[N+](=O)[O-])C(=O)N(Cc4ccccc4)C(=O)N1,MolPort-010-798-542 ChemDiv-D364-0232 MCULE-5035852933,-9.78354,0.78149,comp17,0
17,OC1=C(C2=NNC(C2)c3ccc(cc3)[N+](=O)[O-])C(=O)N(Cc4ccccc4)C(=O)N1,MolPort-010-798-542 ChemDiv-D364-0232 MCULE-5035852933,-9.78346,0.7844,comp18,0
18,Fc1ccc(Cc2nc(NC(=O)C3CCCN(C3)c4ncccn4)n[nH]2)cc1,MolPort-035-703-430 LN00436045 MCULE-9637136534 PubChem-91639776,-9.45602,1.8963,comp19,0
19,CC1CC(c2ccccc2)n3nc(NC(=O)c4cccc(c4)[N+](=O)[O-])nc3N1,MolPort-000-809-109 MCULE-8849528937 PubChem-135651397,-8.63091,2.19224,comp20,0
20,COC1=CNC(=CC1=O)C(=O)Nc2n[nH]c(CCc3c[nH]c4ccccc34)n2,MolPort-044-544-974 604419302 MCULE-9838432534 PubChem-127254483 ZINC000604419302,-8.62755,1.50014,comp21,0
21,O=C(NC1CCS(=O)(=O)C1)Nc2ccccc2C(=O)Nc3cccc(c3)n4cnnc4,MolPort-044-564-113 MCULE-2376320250 PubChem-132285807,-8.6035,4.40496,comp22,0
22,CC1CC(c2ccccc2)n3nc(NC(=O)c4cccc(c4)[N+](=O)[O-])nc3N1,MolPort-000-809-109 MCULE-8849528937 PubChem-135651397,-8.44439,2.12602,comp23,0
23,COC1=COC(=CC1=O)C(=O)Nc2n[nH]c(COc3ccccc3)n2,MolPort-044-565-793 PubChem-127254322,-8.04956,1.7055,comp24,0
24,Clc1ccc2N\C(=N\C3=NCN(CCCN4CCOCC4)CN3)\N=C(c5ccccc5)c2c1,MolPort-000-788-338,-7.91203,4.28418,comp25,0
